@relation InstanceResultListener

@attribute Key_Dataset {CarsN}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.functions.SMO,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"',''}
@attribute Key_Scheme_version_ID {-217733168393644444,-6585883636378691736,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 123\nSize of the tree: 171\n','Number of leaves: 113\nSize of the tree: 158\n','Number of leaves: 114\nSize of the tree: 158\n','Number of leaves: 124\nSize of the tree: 174\n','Number of leaves: 122\nSize of the tree: 170\n','Number of leaves: 125\nSize of the tree: 174\n','Number of leaves: 121\nSize of the tree: 168\n','Number of leaves: 117\nSize of the tree: 162\n','Number of leaves: 120\nSize of the tree: 167\n','Number of leaves: 115\nSize of the tree: 160\n','Number of leaves: 111\nSize of the tree: 155\n','Number of leaves: 110\nSize of the tree: 153\n','Number of leaves: 128\nSize of the tree: 178\n','Number of leaves: 129\nSize of the tree: 182\n','Number of leaves: 133\nSize of the tree: 184\n','Number of leaves: 119\nSize of the tree: 166\n','Number of leaves: 129\nSize of the tree: 179\n','Number of leaves: 131\nSize of the tree: 182\n','Number of leaves: 114\nSize of the tree: 159\n','Number of leaves: 128\nSize of the tree: 179\n','Number of leaves: 126\nSize of the tree: 175\n','Number of leaves: 112\nSize of the tree: 156\n','Number of leaves: 127\nSize of the tree: 176\n','Number of leaves: 111\nSize of the tree: 154\n','Number of leaves: 117\nSize of the tree: 163\n','Number of leaves: 113\nSize of the tree: 157\n','Number of leaves: 107\nSize of the tree: 150\n','Number of leaves: 126\nSize of the tree: 174\n','Number of leaves: 130\nSize of the tree: 180\n','Number of leaves: 125\nSize of the tree: 176\n','Number of leaves: 119\nSize of the tree: 165\n','Number of leaves: 118\nSize of the tree: 164\n','Number of leaves: 128\nSize of the tree: 180\n','Number of leaves: 116\nSize of the tree: 162\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

CarsN,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20171207.2021,1555,173,158,15,0,91.32948,8.67052,0,0.817369,0.050108,0.190259,21.881904,56.277372,207.771695,7541.868354,-7334.096659,1.200992,43.594615,-42.393622,167.904709,0.970547,13866.059708,0.942149,114,0.019231,1,0.980769,51,0.057851,7,0.991304,0.942149,0.966102,0.896385,0.969882,0.986763,0.913295,0.028227,0.971773,0.086705,0.921331,0.913295,0.914622,0.856661,0.965827,0.915301,0.75006,0.913295,0.006,0.001,0,0,0,0,41290,134299,16829,95.953757,29.768786,'Number of leaves: 123\nSize of the tree: 171\n',171,123,123
CarsN,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20171207.2021,1555,173,156,17,0,90.17341,9.82659,0,0.789357,0.048725,0.177621,21.277979,52.539033,207.771695,3256.347409,-3048.575714,1.200992,18.822817,-17.621825,163.169226,0.943175,13474.989769,0.933884,113,0.057692,3,0.942308,49,0.066116,8,0.974138,0.933884,0.953586,0.854727,0.984901,0.992986,0.901734,0.061027,0.938973,0.098266,0.909368,0.901734,0.901502,0.821153,0.977191,0.942753,0.770293,0.901734,0.005,0,0,0,0,0,38432,134299,16829,98.265896,31.069364,'Number of leaves: 113\nSize of the tree: 158\n',158,113,113
CarsN,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20171207.2021,1555,173,160,13,0,92.485549,7.514451,0,0.831371,0.04164,0.167003,18.18377,49.398353,207.771695,3249.519439,-3041.747744,1.200992,18.783349,-17.582357,170.986138,0.988359,14120.533158,0.991736,120,0.115385,6,0.884615,46,0.008264,1,0.952381,0.991736,0.97166,0.903313,0.99547,0.997437,0.924855,0.086652,0.913348,0.075145,0.925535,0.924855,0.922806,0.865307,0.983504,0.953155,0.839448,0.924855,0.005,0,0,0,0,0,38424,134299,16829,98.265896,29.624277,'Number of leaves: 114\nSize of the tree: 158\n',158,114,114
CarsN,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20171207.2021,1555,173,159,14,0,91.907514,8.092486,0,0.824059,0.043411,0.17194,18.95753,50.858759,207.771695,5392.877868,-5185.106173,1.200992,31.172704,-29.971712,175.06332,1.011927,14457.238669,0.950413,115,0.096154,5,0.903846,47,0.049587,6,0.958333,0.950413,0.954357,0.84968,0.969644,0.985948,0.919075,0.078005,0.921995,0.080925,0.920279,0.919075,0.918245,0.835831,0.972895,0.94528,0.834731,0.919075,0.005,0,0.015625,0,15.625,0,41960,134299,16829,97.109827,28.901734,'Number of leaves: 124\nSize of the tree: 174\n',174,124,124
CarsN,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20171207.2021,1555,173,164,9,0,94.797688,5.202312,0,0.883658,0.033331,0.147826,14.525697,43.624537,210.310948,4311.596675,-4101.285727,1.21567,24.922524,-23.706854,180.307649,1.042241,14910.407384,0.991736,120,0.096154,5,0.903846,47,0.008264,1,0.96,0.991736,0.97561,0.917115,0.993404,0.996502,0.947977,0.072377,0.927623,0.052023,0.946452,0.947977,0.946523,0.898373,0.982479,0.952961,0.905388,0.947977,0.006,0,0,0,0,0,41072,134299,16829,97.687861,28.179191,'Number of leaves: 122\nSize of the tree: 170\n',170,122,122
CarsN,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20171207.2021,1555,173,165,8,0,95.375723,4.624277,0,0.901037,0.027797,0.133392,12.113736,39.36508,210.310948,3236.116548,-3025.8056,1.21567,18.705876,-17.490206,189.84124,1.097348,15698.780684,0.966942,117,0,0,1,52,0.033058,4,1,0.966942,0.983193,0.947563,0.982676,0.992277,0.953757,0.011633,0.988367,0.046243,0.959088,0.953757,0.953639,0.924145,0.983972,0.966789,0.875355,0.953757,0.004,0,0,0,0,0,41952,134299,16829,98.265896,28.612717,'Number of leaves: 125\nSize of the tree: 174\n',174,125,125
CarsN,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20171207.2021,1555,173,156,17,0,90.17341,9.82659,0,0.787485,0.05206,0.195917,22.687502,57.816522,210.310948,6474.620548,-6264.3096,1.21567,37.425552,-36.209882,165.881137,0.958851,13717.417651,0.966942,117,0.076923,4,0.923077,48,0.033058,4,0.966942,0.966942,0.966942,0.890019,0.989113,0.994952,0.901734,0.06527,0.93473,0.098266,0.905505,0.901734,0.902746,0.836098,0.972833,0.925472,0.761199,0.901734,0.023,0.001,0,0,0,0,40628,134299,16829,96.531792,29.624277,'Number of leaves: 121\nSize of the tree: 168\n',168,121,121
CarsN,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20171207.2021,1555,173,156,17,0,90.17341,9.82659,0,0.785719,0.050488,0.195229,22.002398,57.613525,210.310948,6473.329177,-6263.018229,1.21567,37.418088,-36.202418,166.809735,0.964218,13794.207383,0.958678,116,0.115385,6,0.884615,46,0.041322,5,0.95082,0.958678,0.954733,0.848023,0.980054,0.990588,0.901734,0.091684,0.908316,0.098266,0.902899,0.901734,0.901528,0.814361,0.970891,0.925896,0.803385,0.901734,0.006,0.001,0,0,0,0,39304,134299,16829,96.531792,28.901734,'Number of leaves: 117\nSize of the tree: 162\n',162,117,117
CarsN,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,20171207.2021,1556,172,158,14,0,91.860465,8.139535,0,0.825444,0.042475,0.182753,18.61504,54.276183,205.704619,7536.359327,-7330.654707,1.195957,43.816043,-42.620086,166.442269,0.967688,13738.993148,0.950413,115,0.019608,1,0.980392,50,0.049587,6,0.991379,0.950413,0.970464,0.907222,0.982985,0.991831,0.918605,0.029546,0.970454,0.081395,0.916445,0.918605,0.914672,0.860832,0.970957,0.925054,0.730336,0.918605,0.004,0.001,0.015625,0,15.625,0,41952,134384,16744,95.930233,28.052326,'Number of leaves: 125\nSize of the tree: 174\n',174,125,125
