@relation InstanceResultListener

@attribute Key_Dataset {DATASET_TA}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.lazy.IBk,weka.classifiers.functions.SMO,weka.classifiers.trees.J48}
@attribute Key_Scheme_options {'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-C 5.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"','-C 0.25 -M 2'}
@attribute Key_Scheme_version_ID {-3080186098777067172,-6585883636378691736,-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 130\nSize of the tree: 143\n','Number of leaves: 109\nSize of the tree: 124\n','Number of leaves: 61\nSize of the tree: 74\n','Number of leaves: 58\nSize of the tree: 68\n','Number of leaves: 81\nSize of the tree: 91\n','Number of leaves: 82\nSize of the tree: 93\n','Number of leaves: 83\nSize of the tree: 95\n','Number of leaves: 107\nSize of the tree: 120\n','Number of leaves: 84\nSize of the tree: 97\n','Number of leaves: 106\nSize of the tree: 118\n','Number of leaves: 36\nSize of the tree: 47\n','Number of leaves: 59\nSize of the tree: 70\n','Number of leaves: 60\nSize of the tree: 72\n','Number of leaves: 110\nSize of the tree: 126\n','Number of leaves: 80\nSize of the tree: 89\n','Number of leaves: 35\nSize of the tree: 45\n','Number of leaves: 57\nSize of the tree: 66\n','Number of leaves: 132\nSize of the tree: 147\n','Number of leaves: 85\nSize of the tree: 99\n','Number of leaves: 87\nSize of the tree: 103\n','Number of leaves: 111\nSize of the tree: 128\n','Number of leaves: 79\nSize of the tree: 87\n','Number of leaves: 103\nSize of the tree: 112\n','Number of leaves: 112\nSize of the tree: 130\n','Number of leaves: 86\nSize of the tree: 101\n','Number of leaves: 88\nSize of the tree: 105\n','Number of leaves: 131\nSize of the tree: 145\n','Number of leaves: 33\nSize of the tree: 41\n','Number of leaves: 63\nSize of the tree: 78\n','Number of leaves: 62\nSize of the tree: 76\n','Number of leaves: 37\nSize of the tree: 49\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

DATASET_TA,1,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20171205.2204,135,16,10,6,0,62.5,37.5,0,0.435294,0.24064,0.472477,54.180829,100.287792,25.331783,39.296213,-13.96443,1.583236,2.456013,-0.872777,12.753506,0.797094,804.772024,0.8,4,0.363636,4,0.636364,7,0.2,1,0.5,0.8,0.615385,0.40452,0.736364,0.528571,0.625,0.188636,0.811364,0.375,0.71875,0.625,0.620879,0.476604,0.704545,0.601563,0.617827,0.625,0.001,0,0,0,0,0,14669,13020,3857,68.75,35.416667,?,?,?,?
DATASET_TA,1,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20171205.2204,136,15,13,2,0,86.666667,13.333333,0,0.794521,0.096246,0.295074,21.671052,62.638154,23.744525,14.499321,9.245205,1.582968,0.966621,0.616347,19.153597,1.276906,1208.514243,1,4,0,0,1,11,0,0,1,1,1,1,1,1,0.866667,0.088889,0.911111,0.133333,0.9,0.866667,0.859524,0.807874,0.902963,0.830952,0.869048,0.866667,0,0,0,0,0,0,14746,13097,3780,86.666667,33.333333,?,?,?,?
DATASET_TA,1,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20171205.2204,136,15,9,6,0,60,40,0,0.4,0.255534,0.488463,57.495182,103.599918,23.782228,40.289754,-16.507526,1.585482,2.685984,-1.100502,11.258565,0.750571,710.569928,0.4,2,0.1,1,0.9,9,0.6,3,0.666667,0.4,0.5,0.353553,0.59,0.516667,0.6,0.2,0.8,0.4,0.722222,0.6,0.579365,0.469418,0.72,0.57381,0.579365,0.6,0,0,0,0,0,0,14754,13097,3780,66.666667,35.555556,?,?,?,?
DATASET_TA,1,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20171205.2204,136,15,7,8,0,46.666667,53.333333,0,0.2,0.372114,0.567745,83.725633,120.41513,23.782228,56.480415,-32.698187,1.585482,3.765361,-2.179879,5.952032,0.396802,375.654915,0.8,4,0.5,5,0.5,5,0.2,1,0.444444,0.8,0.571429,0.288675,0.64,0.429365,0.466667,0.266667,0.733333,0.533333,0.481481,0.466667,0.440476,0.214076,0.53,0.430729,0.440476,0.466667,0,0,0,0,0,0,14746,13097,3780,53.333333,42.222222,?,?,?,?
DATASET_TA,1,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20171205.2204,136,15,10,5,0,66.666667,33.333333,0,0.5,0.226756,0.457039,51.020012,96.934989,23.782228,38.331439,-14.549211,1.585482,2.555429,-0.969947,12.771866,0.851458,806.07998,0.8,4,0.2,2,0.8,8,0.2,1,0.666667,0.8,0.727273,0.57735,0.78,0.706667,0.666667,0.166667,0.833333,0.333333,0.655556,0.666667,0.657239,0.49685,0.73,0.632698,0.657239,0.666667,0,0,0,0,0,0,14754,13097,3780,66.666667,35.555556,?,?,?,?
DATASET_TA,1,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20171205.2204,136,15,10,5,0,66.666667,33.333333,0,0.5,0.248366,0.479127,55.882276,101.619725,23.782228,38.736079,-14.95385,1.585482,2.582405,-0.996923,11.835575,0.789038,746.987214,1,5,0.1,1,0.9,9,0,0,0.833333,1,0.909091,0.866025,0.9,0.806667,0.666667,0.166667,0.833333,0.333333,0.644444,0.666667,0.651178,0.493075,0.713333,0.578353,0.651178,0.666667,0,0,0,0,0,0,14746,13097,3780,66.666667,35.555556,?,?,?,?
DATASET_TA,1,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20171205.2204,136,15,10,5,0,66.666667,33.333333,0,0.5,0.21284,0.4412,47.888903,93.575649,23.782228,32.23851,-8.456282,1.585482,2.149234,-0.563752,13.332633,0.888842,841.472063,0.6,3,0.3,3,0.7,7,0.4,2,0.5,0.6,0.545455,0.288675,0.62,0.480952,0.666667,0.166667,0.833333,0.333333,0.683333,0.666667,0.670707,0.507226,0.726667,0.648742,0.670707,0.666667,0,0,0,0,0,0,14746,13097,3780,73.333333,35.555556,?,?,?,?
DATASET_TA,1,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20171205.2204,136,15,11,4,0,73.333333,26.666667,0,0.6,0.205355,0.430834,46.20484,91.377221,23.782228,30.674457,-6.892228,1.585482,2.044964,-0.459482,13.931258,0.928751,879.253528,0.6,3,0,0,1,10,0.4,2,1,0.6,0.75,0.707107,0.7,0.72381,0.733333,0.133333,0.866667,0.266667,0.851852,0.733333,0.738095,0.663855,0.763333,0.677737,0.738095,0.733333,0,0,0,0,0,0,14746,13097,3780,73.333333,35.555556,?,?,?,?
DATASET_TA,1,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20171205.2204,136,15,11,4,0,73.333333,26.666667,0,0.6,0.183429,0.417933,41.271418,88.640907,23.782228,30.259438,-6.47721,1.585482,2.017296,-0.431814,14.894205,0.992947,940.028725,0.6,3,0,0,1,10,0.4,2,1,0.6,0.75,0.707107,0.71,0.728205,0.733333,0.133333,0.866667,0.266667,0.777778,0.733333,0.734848,0.620602,0.77,0.668132,0.734848,0.733333,0,0.001,0,0,0,0,14762,13097,3780,73.333333,33.333333,?,?,?,?
